Полицейска статистика 2024,,,,,,,,,,,
,,,,,,,,,,"Престъпления,",
,Благоевград,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,,,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",186,61.77,135,72.58,134,13,9,4,21,21
,· склоняване/подпомагане към употреба (чл.354б НК),0,0,0,0,0,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),60,19.92,6,10,6,0,0,0,1,1
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",2,0.66,2,100,2,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
3.6.,Престъпления по транспорта (чл.340-344 НК),443,147.11,273,61.63,266,20,3,17,87,87
,"· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)",10,3.32,0,0,0,0,0,0,4,4
,"· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)",67,22.25,10,14.93,10,3,0,2,24,24
3.7.,Други общоопасни,1,0.33,1,100,1,0,0,0,1,1
4,Други криминални престъпления,230,76.38,73,31.74,77,10,2,1,41,45
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",13,4.32,7,53.85,9,2,0,0,3,3
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",87,28.89,34,39.08,35,5,1,0,26,30
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),50,16.6,14,28,13,3,0,0,15,15
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),57,18.93,13,22.81,13,1,0,0,8,8
,· използване на полицейски знаци/униформа - (чл.274а НК),0,0,0,0,0,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),0,0,0,0,0,0,0,0,0,0
,· превеждане през граница (чл.280 -281 НК),0,0,0,0,0,0,0,0,0,0
4.4.,Компютърни престъпления (чл.319а-319в  НК),0,0,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),72,23.91,18,25,19,2,1,1,4,4
,"· образуване и участие в престъпна група (чл.321, 321а НК)",0,0,0,0,0,0,0,0,0,0
,· хулиганство (чл.325 НК),47,15.61,11,23.4,12,1,1,1,4,4
5,"Престъпления, извършени в условията на домашно насилие",44,14.61,13,29.55,12,0,0,0,8,8
6,Смъртни случаи без следи от насилие,25,8.3,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Бургас,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,5209,1271.26,2554,49.03,2299,332,180,173,663,663
1,Престъпления против личността (чл.115 - 159 НК),817,199.39,294,35.99,300,16,19,16,119,133
1.1.,Убийство (чл.115-127 НК),15,3.66,3,20,3,0,0,0,4,4
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",12,2.93,3,25,3,0,0,0,1,1
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",1,0.24,0,0,0,0,0,0,2,2
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",2,0.49,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),49,11.96,16,32.65,19,1,6,2,6,6
,· Блудство (чл.149 - 150 НК),25,6.1,10,40,12,0,4,2,1,1
,· Изнасилване (чл.152 НК) - довършено,11,2.68,1,9.09,1,0,0,0,1,1
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),2,0.49,1,50,1,0,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),1,0.24,1,100,2,0,0,0,1,1
1.3.,Телесна повреда (чл.128 - 135 НК),581,141.79,216,37.18,223,11,11,10,81,94
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",2,0.49,1,50,1,0,0,0,2,7
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",5,1.22,2,40,2,0,0,0,3,5
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),1,0.24,0,0,0,0,0,0,0,0
1.7.,Други против личността,166,40.51,57,34.34,56,4,2,4,25,26
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",2302,561.81,981,42.62,855,157,106,29,212,198
2.1.,Грабеж (чл.198 - 200 НК),54,13.18,44,81.48,53,1,7,1,8,9
,· въоръжен грабеж,2,0.49,1,50,1,0,0,0,0,0
,- чрез огнестрелно оръжие,0,0,0,0,0,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),1791,437.1,832,46.45,707,140,75,26,159,153
,· джебчийска,18,4.39,7,38.89,10,4,0,0,3,3
,· взломна,103,25.14,35,33.98,30,4,3,3,11,17
,· домова,115,28.07,41,35.65,50,5,1,1,12,15
,· от офиси,15,3.66,4,26.67,3,0,1,0,2,4
,· от магазини,294,71.75,217,73.81,209,71,27,18,23,25
,· на части и вещи от МПС,36,8.79,9,25,12,0,0,0,5,6
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",3,0.73,1,33.33,1,0,0,0,1,1
,"· на селскостопанска продукция, домашни животни и птици",177,43.2,127,71.75,123,33,13,8,11,11
2.3.,"Измама (чл.209 - 211, 213 НК)",107,26.11,12,11.21,14,0,2,0,23,16
2.4.,Изнудване (чл.213а-214 а НК),11,2.68,1,9.09,2,0,2,0,0,0
2.5.,Други против собствеността,339,82.73,92,27.14,105,16,24,2,22,22
3,Общоопасни престъпления (чл.330-356 к НК),1459,356.07,981,67.24,941,105,56,62,259,262
3.1.,Палеж (чл.330-333 НК),77,18.79,7,9.09,10,0,1,0,1,1
,· повреждане чрез взрив (чл.333 НК),0,0,0,0,0,0,0,0,0,0
3.2.,"Незаконно производство, придобиване, държане и използване на оръжие (чл.337-339б НК)",9,2.2,3,33.33,3,1,0,0,4,4
3.3.,Посегателства спрямо МПС,51,12.45,20,39.22,24,2,0,3,5,6
,"· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)",16,3.9,7,43.75,9,1,0,2,1,2
,"· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· кражба на МПС (чл.195, ал.1, т.12 НК)",35,8.54,13,37.14,16,1,0,1,4,4
,"· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)",0,0,0,0,0,0,0,0,0,0
3.4.,Други действия спрямо МПС,72,17.57,48,66.67,47,8,7,7,15,15
,· използване на чужди регистрационни номера на МПС  (чл.345 НК),69,16.84,46,66.67,45,7,7,6,15,15
,· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК),3,0.73,2,66.67,2,1,0,1,0,0
,· незаконно проникване в МПС (чл.346б НК),0,0,0,0,0,0,0,0,0,0
3.5.,"Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; чл.282,ал.5; чл.253,ал.4, чл.354а-354в НК)",456,111.29,374,82.02,344,46,44,8,88,90
,"· контрабанда (чл.242, ал.2 и ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",445,108.6,367,82.47,335,43,44,7,85,87
,· склоняване/подпомагане към употреба (чл.354б НК),0,0,0,0,0,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),11,2.68,7,63.64,10,3,0,1,3,3
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",0,0,0,0,0,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
3.6.,Престъпления по транспорта (чл.340-344 НК),787,192.07,526,66.84,518,48,3,44,146,148
,"· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)",21,5.13,5,23.81,5,0,0,1,7,8
,"· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)",107,26.11,10,9.35,10,1,0,0,37,38
3.7.,Други общоопасни,7,1.71,3,42.86,3,1,1,0,0,0
4,Други криминални престъпления,549,133.98,297,54.1,304,58,10,66,71,72
