Полицейска статистика 2024,,,,,,,,,,,
,,,,,,,,,,"Престъпления,",
,Благоевград,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,,,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,986,932.05,631,64,507,93,64,10,119,105
1,Престъпления против личността (чл.115 - 159 НК),77,72.79,51,66.23,50,6,4,0,12,11
1.1.,Убийство (чл.115-127 НК),3,2.84,3,100,3,1,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",2,1.89,2,100,2,0,0,0,0,0
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",1,0.95,1,100,1,1,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",0,0,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),9,8.51,7,77.78,6,0,3,0,0,0
,· Блудство (чл.149 - 150 НК),3,2.84,2,66.67,2,0,1,0,0,0
,· Изнасилване (чл.152 НК) - довършено,1,0.95,1,100,1,0,0,0,0,0
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),0,0,0,0,0,0,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),1,0.95,0,0,0,0,0,0,0,0
1.3.,Телесна повреда (чл.128 - 135 НК),44,41.59,29,65.91,31,4,1,0,10,9
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",0,0,0,0,0,0,0,0,0,0
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",2,1.89,1,50,1,0,0,0,0,0
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),0,0,0,0,0,0,0,0,0,0
1.7.,Други против личността,19,17.96,11,57.89,11,1,0,0,2,2
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",478,451.85,260,54.39,218,64,42,0,35,34
2.1.,Грабеж (чл.198 - 200 НК),7,6.62,4,57.14,4,0,0,0,2,1
,· въоръжен грабеж,0,0,0,0,0,0,0,0,0,0
,- чрез огнестрелно оръжие,0,0,0,0,0,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),363,343.14,190,52.34,146,55,23,0,25,25
,· джебчийска,4,3.78,3,75,3,2,0,0,0,0
,· взломна,43,40.65,14,32.56,12,0,2,0,2,1
,· домова,49,46.32,13,26.53,12,2,2,0,5,8
,· от офиси,2,1.89,1,50,1,0,0,0,0,0
,· от магазини,92,86.97,85,92.39,73,40,14,0,3,5
,· на части и вещи от МПС,1,0.95,0,0,0,0,0,0,0,0
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",3,2.84,0,0,0,0,0,0,0,0
,"· на селскостопанска продукция, домашни животни и птици",38,35.92,31,81.58,32,14,7,0,1,2
2.3.,"Измама (чл.209 - 211, 213 НК)",17,16.07,4,23.53,5,2,0,0,1,1
2.4.,Изнудване (чл.213а-214 а НК),0,0,0,0,0,0,0,0,0,0
2.5.,Други против собствеността,91,86.02,62,68.13,72,7,22,0,7,8
3,Общоопасни престъпления (чл.330-356 к НК),359,339.36,272,75.77,241,21,23,10,56,49
3.1.,Палеж (чл.330-333 НК),9,8.51,4,44.44,4,0,0,0,1,1
,· повреждане чрез взрив (чл.333 НК),0,0,0,0,0,0,0,0,0,0
3.2.,"Незаконно производство, придобиване, държане и използване на оръжие (чл.337-339б НК)",4,3.78,3,75,3,0,0,0,1,1
3.3.,Посегателства спрямо МПС,19,17.96,7,36.84,10,1,5,0,0,0
,"· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)",6,5.67,3,50,3,0,2,0,0,0
,"· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· кражба на МПС (чл.195, ал.1, т.12 НК)",12,11.34,4,33.33,7,1,3,0,0,0
,"· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)",1,0.95,0,0,0,0,0,0,0,0
3.4.,Други действия спрямо МПС,35,33.09,29,82.86,24,1,4,2,4,4
,· използване на чужди регистрационни номера на МПС  (чл.345 НК),29,27.41,26,89.66,22,1,3,2,4,4
,· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК),3,2.84,0,0,0,0,0,0,0,0
,· незаконно проникване в МПС (чл.346б НК),3,2.84,3,100,2,0,1,0,0,0
3.5.,"Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; чл.282,ал.5; чл.253,ал.4, чл.354а-354в НК)",99,93.58,82,82.83,72,10,14,3,8,5
,"· контрабанда (чл.242, ал.2 и ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",93,87.91,78,83.87,71,10,14,3,8,5
,· склоняване/подпомагане към употреба (чл.354б НК),0,0,0,0,0,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),6,5.67,4,66.67,4,1,0,1,0,0
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",0,0,0,0,0,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
3.6.,Престъпления по транспорта (чл.340-344 НК),193,182.44,147,76.17,141,9,1,5,41,41
,"· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)",2,1.89,0,0,0,0,0,0,1,1
,"· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)",24,22.69,9,37.5,9,1,0,1,19,19
3.7.,Други общоопасни,0,0,0,0,0,0,0,0,1,1
4,Други криминални престъпления,70,66.17,46,65.71,42,5,2,0,16,16
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",4,3.78,3,75,3,1,0,0,1,1
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",28,26.47,20,71.43,20,2,0,0,5,5
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),26,24.58,19,73.08,19,2,0,0,4,4
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),17,16.07,12,70.59,8,1,0,0,6,6
,· използване на полицейски знаци/униформа - (чл.274а НК),0,0,0,0,0,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),0,0,0,0,0,0,0,0,0,0
,· превеждане през граница (чл.280 -281 НК),0,0,0,0,0,0,0,0,2,2
4.4.,Компютърни престъпления (чл.319а-319в  НК),0,0,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),21,19.85,11,52.38,12,1,2,0,4,4
,"· образуване и участие в престъпна група (чл.321, 321а НК)",0,0,0,0,0,0,0,0,0,0
,· хулиганство (чл.325 НК),14,13.23,7,50,8,0,2,0,2,2
5,"Престъпления, извършени в условията на домашно насилие",28,26.47,24,85.71,17,0,0,0,8,6
6,Смъртни случаи без следи от насилие,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Добрич,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,1559,915.45,853,54.71,756,64,61,24,125,121
1,Престъпления против личността (чл.115 - 159 НК),164,96.3,69,42.07,62,10,7,0,13,13
1.1.,Убийство (чл.115-127 НК),21,12.33,3,14.29,3,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",3,1.76,3,100,3,0,0,0,0,0
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",0,0,0,0,0,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",0,0,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),4,2.35,2,50,1,0,0,0,1,1
,· Блудство (чл.149 - 150 НК),1,0.59,1,100,1,0,0,0,1,1
,· Изнасилване (чл.152 НК) - довършено,3,1.76,1,33.33,1,0,0,0,0,0
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),0,0,0,0,0,0,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),0,0,0,0,0,0,0,0,0,0
1.3.,Телесна повреда (чл.128 - 135 НК),95,55.78,44,46.32,43,7,7,0,10,10
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",0,0,0,0,0,0,0,0,0,0
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",2,1.17,0,0,0,0,0,0,0,0
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),1,0.59,0,0,0,0,0,0,0,0
1.7.,Други против личността,41,24.08,20,48.78,20,3,0,0,2,2
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",553,324.72,185,33.45,194,18,38,6,39,36
2.1.,Грабеж (чл.198 - 200 НК),15,8.81,14,93.33,19,0,4,0,2,2
,· въоръжен грабеж,1,0.59,1,100,1,0,0,0,0,0
,- чрез огнестрелно оръжие,1,0.59,1,100,1,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),420,246.63,139,33.1,139,18,27,6,30,28
,· джебчийска,4,2.35,2,50,2,2,0,0,1,1
,· взломна,85,49.91,18,21.18,24,1,8,0,7,7
,· домова,125,73.4,34,27.2,37,5,5,0,9,10
,· от офиси,5,2.94,0,0,0,0,0,0,1,1
,· от магазини,52,30.53,29,55.77,33,6,13,2,4,4
,· на части и вещи от МПС,43,25.25,12,27.91,12,0,1,1,1,1
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· на селскостопанска продукция, домашни животни и птици",32,18.79,19,59.38,24,4,7,2,5,5
2.3.,"Измама (чл.209 - 211, 213 НК)",18,10.57,4,22.22,5,0,0,0,1,1
2.4.,Изнудване (чл.213а-214 а НК),3,1.76,2,66.67,3,0,0,0,0,0
2.5.,Други против собствеността,97,56.96,26,26.8,34,0,8,0,6,6
3,Общоопасни престъпления (чл.330-356 к НК),706,414.57,526,74.5,467,30,11,12,60,59
3.1.,Палеж (чл.330-333 НК),21,12.33,7,33.33,7,0,1,0,1,1
,· повреждане чрез взрив (чл.333 НК),0,0,0,0,0,0,0,0,0,0
3.2.,"Незаконно производство, придобиване, държане и използване на оръжие (чл.337-339б НК)",4,2.35,2,50,2,0,0,0,0,0
3.3.,Посегателства спрямо МПС,11,6.46,5,45.45,7,0,0,0,4,4
,"· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)",7,4.11,4,57.14,4,0,0,0,2,2
,"· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· кражба на МПС (чл.195, ал.1, т.12 НК)",3,1.76,0,0,0,0,0,0,2,2
,"· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)",1,0.59,1,100,3,0,0,0,0,0
3.4.,Други действия спрямо МПС,62,36.41,51,82.26,49,3,1,2,1,1
,· използване на чужди регистрационни номера на МПС  (чл.345 НК),60,35.23,50,83.33,49,3,1,2,1,1
,· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК),2,1.17,1,50,1,0,0,0,0,0
,· незаконно проникване в МПС (чл.346б НК),0,0,0,0,0,0,0,0,0,0
3.5.,"Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; чл.282,ал.5; чл.253,ал.4, чл.354а-354в НК)",246,144.45,201,81.71,180,12,7,2,15,15
,"· контрабанда (чл.242, ал.2 и ал.3 НК)",1,0.59,1,100,1,1,0,0,0,0
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",240,140.93,196,81.67,175,12,7,1,15,15
,· склоняване/подпомагане към употреба (чл.354б НК),0,0,0,0,0,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),6,3.52,5,83.33,7,0,0,1,0,0
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",0,0,0,0,0,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
3.6.,Престъпления по транспорта (чл.340-344 НК),358,210.22,259,72.35,246,14,2,8,39,39
,"· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)",11,6.46,4,36.36,4,0,0,1,0,0
,"· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)",31,18.2,4,12.9,4,1,0,0,16,16
3.7.,Други общоопасни,4,2.35,1,25,1,1,0,0,0,0
4,Други криминални престъпления,130,76.34,73,56.15,69,6,9,6,12,15
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",9,5.28,5,55.56,5,1,1,0,1,1
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",30,17.62,11,36.67,10,1,0,0,3,4
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),19,11.16,5,26.32,4,0,0,0,2,2
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),49,28.77,29,59.18,26,0,0,4,3,4
,· използване на полицейски знаци/униформа - (чл.274а НК),0,0,0,0,0,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),4,2.35,4,100,4,0,0,4,0,0
,· превеждане през граница (чл.280 -281 НК),0,0,0,0,0,0,0,0,0,0
4.4.,Компютърни престъпления (чл.319а-319в  НК),0,0,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),42,24.66,28,66.67,30,4,8,2,5,6
,"· образуване и участие в престъпна група (чл.321, 321а НК)",0,0,0,0,0,0,0,0,0,0
,· хулиганство (чл.325 НК),41,24.08,27,65.85,29,4,8,2,4,5
5,"Престъпления, извършени в условията на домашно насилие",51,29.95,30,58.82,25,0,0,0,5,5
6,Смъртни случаи без следи от насилие,5,2.94,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Кърджали,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,904,562.26,593,65.6,594,52,41,14,76,84
1,Престъпления против личността (чл.115 - 159 НК),139,86.45,96,69.06,105,9,3,0,15,16
1.1.,Убийство (чл.115-127 НК),5,3.11,3,60,3,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",1,0.62,1,100,1,0,0,0,0,0
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",2,1.24,1,50,1,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",0,0,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),6,3.73,3,50,3,0,0,0,0,0
,· Блудство (чл.149 - 150 НК),4,2.49,2,50,2,0,0,0,0,0
,· Изнасилване (чл.152 НК) - довършено,1,0.62,1,100,1,0,0,0,0,0
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),1,0.62,0,0,0,0,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),0,0,0,0,0,0,0,0,0,0
1.3.,Телесна повреда (чл.128 - 135 НК),68,42.29,38,55.88,43,3,3,0,8,9
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",0,0,0,0,0,0,0,0,0,0
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",1,0.62,1,100,4,0,0,0,0,0
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),0,0,0,0,0,0,0,0,0,0
1.7.,Други против личността,59,36.7,51,86.44,54,6,0,0,7,7
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",239,148.65,108,45.19,112,13,16,2,13,18
2.1.,Грабеж (чл.198 - 200 НК),2,1.24,1,50,1,0,0,0,0,0
,· въоръжен грабеж,0,0,0,0,0,0,0,0,0,0
,- чрез огнестрелно оръжие,0,0,0,0,0,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),134,83.34,56,41.79,55,8,8,2,11,15
,· джебчийска,4,2.49,4,100,5,0,0,0,0,0
,· взломна,7,4.35,3,42.86,3,0,1,0,0,0
,· домова,12,7.46,2,16.67,1,0,1,0,2,3
,· от офиси,4,2.49,2,50,2,0,1,0,0,0
,· от магазини,15,9.33,9,60,10,5,1,0,1,1
,· на части и вещи от МПС,8,4.98,1,12.5,1,0,0,0,0,0
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",1,0.62,0,0,0,0,0,0,0,0
,"· на селскостопанска продукция, домашни животни и птици",8,4.98,6,75,8,1,2,0,3,5
2.3.,"Измама (чл.209 - 211, 213 НК)",17,10.57,4,23.53,5,2,0,0,0,0
2.4.,Изнудване (чл.213а-214 а НК),2,1.24,0,0,0,0,0,0,0,0
2.5.,Други против собствеността,84,52.24,47,55.95,53,3,8,0,2,3
3,Общоопасни престъпления (чл.330-356 к НК),333,207.11,263,78.98,253,11,10,11,37,38
3.1.,Палеж (чл.330-333 НК),13,8.09,5,38.46,5,0,0,0,0,0
,· повреждане чрез взрив (чл.333 НК),0,0,0,0,0,0,0,0,0,0
3.2.,"Незаконно производство, придобиване, държане и използване на оръжие (чл.337-339б НК)",7,4.35,6,85.71,6,1,0,0,0,0
3.3.,Посегателства спрямо МПС,7,4.35,4,57.14,4,0,0,1,2,3
,"· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)",4,2.49,2,50,2,0,0,1,2,3
,"· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· кражба на МПС (чл.195, ал.1, т.12 НК)",3,1.87,2,66.67,2,0,0,0,0,0
,"· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)",0,0,0,0,0,0,0,0,0,0
3.4.,Други действия спрямо МПС,76,47.27,74,97.37,76,7,8,1,1,1
,· използване на чужди регистрационни номера на МПС  (чл.345 НК),74,46.03,73,98.65,75,7,8,1,1,1
,· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК),2,1.24,1,50,1,0,0,0,0,0
,· незаконно проникване в МПС (чл.346б НК),0,0,0,0,0,0,0,0,0,0
3.5.,"Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; чл.282,ал.5; чл.253,ал.4, чл.354а-354в НК)",60,37.32,44,73.33,40,2,2,2,12,12
,"· контрабанда (чл.242, ал.2 и ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",57,35.45,41,71.93,37,2,2,2,12,12
,· склоняване/подпомагане към употреба (чл.354б НК),0,0,0,0,0,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),3,1.87,3,100,3,0,0,0,0,0
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",0,0,0,0,0,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
3.6.,Престъпления по транспорта (чл.340-344 НК),168,104.49,129,76.79,127,1,0,7,22,22
,"· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)",8,4.98,1,12.5,1,0,0,0,3,3
,"· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)",24,14.93,11,45.83,11,0,0,0,5,5
3.7.,Други общоопасни,2,1.24,1,50,1,0,0,0,0,0
4,Други криминални престъпления,188,116.93,126,67.02,145,20,12,1,11,12
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",13,8.09,2,15.38,2,0,0,0,0,0
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",32,19.9,14,43.75,15,4,2,0,8,9
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),25,15.55,7,28,7,3,0,0,5,5
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),35,21.77,29,82.86,26,1,2,0,1,1
,· използване на полицейски знаци/униформа - (чл.274а НК),0,0,0,0,0,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),0,0,0,0,0,0,0,0,0,0
,· превеждане през граница (чл.280 -281 НК),0,0,0,0,0,0,0,0,0,0
4.4.,Компютърни престъпления (чл.319а-319в  НК),2,1.24,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),106,65.93,81,76.42,105,15,8,1,2,2
,"· образуване и участие в престъпна група (чл.321, 321а НК)",0,0,0,0,0,0,0,0,0,0
,· хулиганство (чл.325 НК),88,54.73,66,75,90,11,8,0,2,2
5,"Престъпления, извършени в условията на домашно насилие",38,23.63,25,65.79,22,1,0,0,1,1
6,Смъртни случаи без следи от насилие,4,2.49,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Кюстендил,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,1137,974.97,547,48.11,502,44,27,6,120,116
1,Престъпления против личността (чл.115 - 159 НК),133,114.05,67,50.38,70,4,6,0,17,18
1.1.,Убийство (чл.115-127 НК),2,1.71,1,50,1,0,0,0,1,1
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",0,0,0,0,0,0,0,0,1,1
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",1,0.86,1,100,1,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",1,0.86,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),6,5.14,5,83.33,5,0,1,0,0,0
,· Блудство (чл.149 - 150 НК),4,3.43,4,100,4,0,1,0,0,0
,· Изнасилване (чл.152 НК) - довършено,1,0.86,0,0,0,0,0,0,0,0
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),0,0,0,0,0,0,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),0,0,0,0,0,0,0,0,0,0
1.3.,Телесна повреда (чл.128 - 135 НК),89,76.32,44,49.44,48,2,4,0,7,8
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",0,0,0,0,0,0,0,0,0,0
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",5,4.29,2,40,2,0,1,0,0,0
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),0,0,0,0,0,0,0,0,0,0
1.7.,Други против личността,31,26.58,15,48.39,15,2,0,0,9,9
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",427,366.15,111,26,95,11,5,0,29,29
2.1.,Грабеж (чл.198 - 200 НК),7,6,5,71.43,8,2,0,0,1,1
,· въоръжен грабеж,0,0,0,0,0,0,0,0,0,0
,- чрез огнестрелно оръжие,0,0,0,0,0,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),287,246.1,69,24.04,52,5,5,0,23,25
,· джебчийска,6,5.14,2,33.33,2,1,0,0,1,1
,· взломна,38,32.58,13,34.21,10,0,0,0,0,0
,· домова,76,65.17,24,31.58,16,0,4,0,2,3
,· от офиси,2,1.71,1,50,1,0,0,0,0,0
,· от магазини,18,15.43,4,22.22,4,2,0,0,3,2
,· на части и вещи от МПС,21,18.01,6,28.57,6,0,0,0,3,3
